,São Paulo,Minas Gerais,Paraná,Rio Grande do Sul,Rio de Janeiro,Bahia,Pernambuco,Santa Catarina,Ceará,Goiás,Pará,Maranhão,Espírito Santo,Rio Grande do Norte,Paraíba,Distrito Federal,Mato Grosso do Sul,Piauí,Alagoas,Mato Grosso,Amazonas,Sergipe,Tocantins,Rondônia,Acre,Roraima,Amapá
2016/Fev,249.74007776,127.36360581,91.92587655,79.21193113,60.02933706,62.76948503,55.58387671,50.967801789999996,41.1068723,32.72119225,27.17992078,24.7504771,22.3361373,16.62782282,14.570163449999999,15.62979861,15.07753475,14.211959720000001,13.006011789999999,14.41491894,11.99024208,8.189897179999999,6.13531966,6.760305809999999,3.0379228,2.0009249,1.63417849
2016/Mar,281.42627577999997,144.10512289,106.1991392,89.81793775,68.60937964,72.36743183,62.032178130000005,57.60460618,45.69229237,36.408433159999994,31.117998989999997,27.033644239999997,26.42049656,18.525680920000003,16.69366487,16.6927613,16.63932385,15.77552734,15.63697637,16.09938426,13.50890638,9.250036660000001,6.57831907,7.77982221,3.27159956,2.33321837,1.8759818000000001
2016/Abr,266.6868187,136.0158927,100.62196913,85.29735228,62.93114041,67.41421202,59.11981414,55.325830509999996,44.06113842,33.45528576,30.19262629,26.49781167,24.3557075,18.41120345,16.53510266,15.92207667,15.795236630000002,15.72401335,14.66691383,15.27570367,13.06764544,8.759100779999999,6.8290726699999995,7.70789266,3.20789315,2.06971658,1.92746131
2016/Mai,277.20730795,143.17850493,105.82998744,91.26110684,65.52817842,70.80631826999999,61.88129571,58.52553727,47.70207343,34.410079100000004,31.09965536,27.61387663,26.58094754,19.98192916,17.69211748,17.50363122,17.03086102,16.420434619999998,15.72844255,15.95896389,13.63362787,8.9451558,6.69220088,8.5605299,3.4023937,2.10513054,1.9217056499999998
2016/Jun,277.87554889999996,140.72212767,107.37048861,91.31001617,64.77295664,67.05911105,61.422837210000004,61.2118395,47.59276797,35.562330100000004,30.9208589,26.54108489,24.89177442,18.19656943,15.780382269999999,17.529009969999997,16.8821876,16.255227089999998,15.08815362,15.58636803,13.143225359999999,9.094975369999998,6.68579303,8.35516566,3.38064497,2.39006015,2.07585244
2016/Jul,271.35092757999996,137.00214167,106.29648992,90.98832952,84.17199764,70.73306486,60.6258351,63.992868539999996,46.22027885,32.7521845,29.97124977,25.98388392,26.24315441,17.59642867,16.02454841,16.54785494,16.41406406,15.885221210000001,15.72956842,15.184179550000001,12.69241945,9.02204057,6.34995578,7.8457099800000005,3.56610755,2.32471008,1.8742278600000002
2016/Ago,278.92920981,143.74302018,111.18045475,93.71541741,68.27532599,73.47265134999999,65.00876149,58.64621656,47.94947012,35.82929943,32.16079999,27.76128988,26.13601492,16.55329383,16.82835047,17.770626699999998,16.50194124,16.31745871,16.3256272,16.20912259,12.51796268,7.4843382,6.3644494400000005,7.93114633,3.52320857,2.47690343,1.80464032
2016/Set,265.84450038,136.14565965,104.10512415000001,86.87232619,63.48684297,68.45440022,59.72703744,56.24758551,45.27340951,33.970973189999995,32.27108366,26.25805733,23.78287202,13.67228729,16.10616852,16.58893142,16.56027708,15.69922571,14.22278025,15.01367123,11.6344534,9.18798001,5.80255993,7.55494174,3.1739324300000002,2.2125165,1.75859638
2016/Out,266.32500123,138.40862287000002,105.53014867,87.08997507,63.88855528,68.14098251,60.484329380000005,56.50927864,43.50142633,32.71912655,30.090090280000002,25.34309327,24.71663341,19.082523579999997,15.42991133,17.42087975,15.450100359999999,15.2929621,14.79660093,15.11133272,12.1217752,8.38973681,6.09559853,7.96367401,2.9110801800000004,2.34908457,1.7665041499999998
2016/Nov,257.13377330000003,129.52889252,101.12300143,81.91963976000001,59.479974340000005,64.21952649,59.50753736,53.30699611,43.76936637,31.342934940000003,30.1901601,23.76059344,24.40927146,16.78552238,15.07157609,16.55198173,15.36281506,14.904386720000002,13.923196769999999,13.41433243,10.806653189999999,7.51095982,6.143712099999999,6.96451259,3.08265271,2.1848368,1.60300031
2016/Dez,247.76405487,132.62861772,96.70876109999999,81.59947803,61.234706179999996,61.66917859,59.41282055,49.12149892,42.22490599,30.95372201,29.39965385,21.54518848,25.30491968,17.24158989,14.408708769999999,16.10863474,14.7809965,14.30340101,13.02563374,13.60669044,11.93390228,7.36290421,6.3005534800000005,7.1744455700000005,3.17350952,2.38005758,1.74778008
2017/Jan,270.91034153,139.05293122,103.8552713,87.25598799,68.09372389,68.60587022,61.72916509,52.42113568,44.44696572,34.029884100000004,31.59825646,25.914947429999998,24.96155027,17.959290059999997,15.31115384,18.09776483,16.56067733,15.6501585,14.99612494,14.81470716,12.21414815,8.27658607,6.19897034,7.00723618,3.00972719,2.3703596200000003,1.8188741499999999
2017/Fev,247.30459141999998,129.33037204000001,96.4642841,76.0704202,61.22965834,60.42262396,56.3170235,50.13417782,41.01707043,30.91448978,28.2193534,24.69692236,22.510666960000002,16.12695692,14.34872645,15.39227358,14.50273375,14.62296452,13.33387977,13.94647126,11.689140720000001,7.851142769999999,5.949471900000001,7.15471019,3.13447101,2.25652994,1.55858521
2017/Mar,288.97535257,150.24220174,119.14149381,93.116698,70.30286022,72.16770009999999,66.84775221,58.977072549999995,48.43370873,37.525906729999996,34.021215170000005,28.66847511,27.03540752,19.36626916,18.647794670000003,18.69934869,17.888222969999998,16.81893013,16.23258723,16.4379156,13.4747198,8.5666284,7.3905294900000005,8.762491599999999,3.5867812999999997,2.60219108,2.04091024
